,Tissue,Delivery,Date,Animal,Test,Function,Parent,IFNB,IFNG,LPSIFNG,Naive_Macrophage,THP1_Monocytes,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele,Tissue_Allele,Motif_Allele
IFNB_THP1mac_ZC58_R_motif_Barcode_1,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC58_R,Immune,THP1_Macrophage,1,0,0,0,0,1,1otif,tif,IFNB_THP1mac_ZC58_R_tif,Macrophage_tif,THP1_IFNB_tif,motif
IFNB_THP1mac_ZC58_R_motif_Barcode_2,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC58_R,Immune,THP1_Macrophage,1,0,0,0,0,2,2otif,tif,IFNB_THP1mac_ZC58_R_tif,Macrophage_tif,THP1_IFNB_tif,motif
IFNB_THP1mac_ZC58_R_motif_Barcode_3,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC58_R,Immune,THP1_Macrophage,1,0,0,0,0,3,3otif,tif,IFNB_THP1mac_ZC58_R_tif,Macrophage_tif,THP1_IFNB_tif,motif
IFNB_THP1mac_ZC58_R_motif_Barcode_4,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC58_R,Immune,THP1_Macrophage,1,0,0,0,0,4,4otif,tif,IFNB_THP1mac_ZC58_R_tif,Macrophage_tif,THP1_IFNB_tif,motif
IFNB_THP1mac_ZC58_R_motif_Barcode_5,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC58_R,Immune,THP1_Macrophage,1,0,0,0,0,5,5otif,tif,IFNB_THP1mac_ZC58_R_tif,Macrophage_tif,THP1_IFNB_tif,motif
IFNB_THP1mac_ZC58_R_motif_Barcode_6,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC58_R,Immune,THP1_Macrophage,1,0,0,0,0,6,6otif,tif,IFNB_THP1mac_ZC58_R_tif,Macrophage_tif,THP1_IFNB_tif,motif
IFNB_THP1mac_ZC58_R_motif_Barcode_7,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC58_R,Immune,THP1_Macrophage,1,0,0,0,0,7,7otif,tif,IFNB_THP1mac_ZC58_R_tif,Macrophage_tif,THP1_IFNB_tif,motif
IFNB_THP1mac_ZC58_R_motif_Barcode_8,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC58_R,Immune,THP1_Macrophage,1,0,0,0,0,8,8otif,tif,IFNB_THP1mac_ZC58_R_tif,Macrophage_tif,THP1_IFNB_tif,motif
IFNB_THP1mac_ZC58_R_motif_Barcode_9,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC58_R,Immune,THP1_Macrophage,1,0,0,0,0,9,9otif,tif,IFNB_THP1mac_ZC58_R_tif,Macrophage_tif,THP1_IFNB_tif,motif
IFNB_THP1mac_ZC58_R_motif_Barcode_10,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC58_R,Immune,THP1_Macrophage,1,0,0,0,0,10,10otif,tif,IFNB_THP1mac_ZC58_R_tif,Macrophage_tif,THP1_IFNB_tif,motif
IFNB_THP1mac_ZC58_R_motif_Barcode_11,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC58_R,Immune,THP1_Macrophage,1,0,0,0,0,11,11otif,tif,IFNB_THP1mac_ZC58_R_tif,Macrophage_tif,THP1_IFNB_tif,motif
IFNB_THP1mac_ZC58_R_motif_Barcode_12,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC58_R,Immune,THP1_Macrophage,1,0,0,0,0,12,12otif,tif,IFNB_THP1mac_ZC58_R_tif,Macrophage_tif,THP1_IFNB_tif,motif
IFNB_THP1mac_ZC58_R_motif_Barcode_13,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC58_R,Immune,THP1_Macrophage,1,0,0,0,0,13,13otif,tif,IFNB_THP1mac_ZC58_R_tif,Macrophage_tif,THP1_IFNB_tif,motif
IFNB_THP1mac_ZC58_R_motif_Barcode_14,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC58_R,Immune,THP1_Macrophage,1,0,0,0,0,14,14otif,tif,IFNB_THP1mac_ZC58_R_tif,Macrophage_tif,THP1_IFNB_tif,motif
IFNB_THP1mac_ZC58_R_motif_Barcode_15,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC58_R,Immune,THP1_Macrophage,1,0,0,0,0,15,15otif,tif,IFNB_THP1mac_ZC58_R_tif,Macrophage_tif,THP1_IFNB_tif,motif
IFNB_THP1mac_ZC58_R_ref_Barcode_1,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC58_R,Immune,THP1_Macrophage,1,0,0,0,0,1,1_ref,ref,IFNB_THP1mac_ZC58_R_ref,Macrophage_ref,THP1_IFNB_ref,Allele
IFNB_THP1mac_ZC58_R_ref_Barcode_2,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC58_R,Immune,THP1_Macrophage,1,0,0,0,0,2,2_ref,ref,IFNB_THP1mac_ZC58_R_ref,Macrophage_ref,THP1_IFNB_ref,Allele
IFNB_THP1mac_ZC58_R_ref_Barcode_3,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC58_R,Immune,THP1_Macrophage,1,0,0,0,0,3,3_ref,ref,IFNB_THP1mac_ZC58_R_ref,Macrophage_ref,THP1_IFNB_ref,Allele
IFNB_THP1mac_ZC58_R_ref_Barcode_4,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC58_R,Immune,THP1_Macrophage,1,0,0,0,0,4,4_ref,ref,IFNB_THP1mac_ZC58_R_ref,Macrophage_ref,THP1_IFNB_ref,Allele
IFNB_THP1mac_ZC58_R_ref_Barcode_5,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC58_R,Immune,THP1_Macrophage,1,0,0,0,0,5,5_ref,ref,IFNB_THP1mac_ZC58_R_ref,Macrophage_ref,THP1_IFNB_ref,Allele
IFNB_THP1mac_ZC58_R_ref_Barcode_6,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC58_R,Immune,THP1_Macrophage,1,0,0,0,0,6,6_ref,ref,IFNB_THP1mac_ZC58_R_ref,Macrophage_ref,THP1_IFNB_ref,Allele
IFNB_THP1mac_ZC58_R_ref_Barcode_7,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC58_R,Immune,THP1_Macrophage,1,0,0,0,0,7,7_ref,ref,IFNB_THP1mac_ZC58_R_ref,Macrophage_ref,THP1_IFNB_ref,Allele
IFNB_THP1mac_ZC58_R_ref_Barcode_8,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC58_R,Immune,THP1_Macrophage,1,0,0,0,0,8,8_ref,ref,IFNB_THP1mac_ZC58_R_ref,Macrophage_ref,THP1_IFNB_ref,Allele
IFNB_THP1mac_ZC58_R_ref_Barcode_9,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC58_R,Immune,THP1_Macrophage,1,0,0,0,0,9,9_ref,ref,IFNB_THP1mac_ZC58_R_ref,Macrophage_ref,THP1_IFNB_ref,Allele
IFNB_THP1mac_ZC58_R_ref_Barcode_10,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC58_R,Immune,THP1_Macrophage,1,0,0,0,0,10,10_ref,ref,IFNB_THP1mac_ZC58_R_ref,Macrophage_ref,THP1_IFNB_ref,Allele
IFNB_THP1mac_ZC58_R_ref_Barcode_11,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC58_R,Immune,THP1_Macrophage,1,0,0,0,0,11,11_ref,ref,IFNB_THP1mac_ZC58_R_ref,Macrophage_ref,THP1_IFNB_ref,Allele
IFNB_THP1mac_ZC58_R_ref_Barcode_12,THP1_IFNB,Nucleofector,,Macrophage,IFNB_THP1mac_ZC58_R,Immune,THP1_Macrophage,1,0,0,0,0,12,12_ref,ref,IFNB_THP1mac_ZC58_R_ref,Macrophage_ref,THP1_IFNB_ref,Allele
